id,name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
338,Zieme-Padberg,French Cuisine,cheap,Battery Park City,15,4.5,false
339,Hahn Inc,Spanish Cuisine,expensive,Tribeca,16,0.9,false
340,Gerhold-Durgan,Mediterranean Cuisine,cheap,Little Italy,15,3.3,true
341,Feil-Farrell,Indian Cuisine,expensive,Tribeca,16,4.6,true
342,Crist-Bernier,Indian Cuisine,medium,Financial District,16,0.1,false
343,"White, Kautzer and Ernser",Japanese Cuisine,medium,Battery Park City,15,2.8,false
344,Kassulke LLC,Greek Cuisine,expensive,Clinton,16,1.5,false
345,Halvorson LLC,Mediterranean Cuisine,cheap,Lower East Side,20,3.9,false
346,Krajcik-Upton,Greek Cuisine,expensive,Financial District,24,0.8,false
347,Bashirian-Robel,Indian Cuisine,cheap,Chelsea,22,4.3,true
348,Gutkowski Group,Japanese Cuisine,expensive,Battery Park City,18,1.8,true
349,Kunze and Sons,Spanish Cuisine,medium,Tribeca,15,3.0,true
350,"Rolfson, Emmerich and Kshlerin",Spanish Cuisine,expensive,Lower East Side,15,0.8,true
351,Heller and Sons,Greek Cuisine,expensive,NoHo,19,2.2,false
352,Kutch LLC,French Cuisine,cheap,Chinatown,17,2.1,true
353,Olson-Sipes,Italian Cuisine,expensive,SoHo,20,0.9,false
354,"Parker, Leuschke and Jaskolski",Japanese Cuisine,medium,NoHo,19,4.4,false
355,Cartwright-Veum,Italian Cuisine,medium,NoHo,21,0.9,false
356,"Volkman, Willms and Ritchie",Greek Cuisine,medium,Tribeca,14,1.7,true
357,Stamm-Stoltenberg,Indian Cuisine,expensive,SoHo,21,1.5,false
358,Leffler-Rempel,Chinese Cuisine,medium,Chinatown,15,2.1,false
359,"Cartwright, Champlin and Parker",Italian Cuisine,medium,SoHo,23,3.7,false
360,Emard-Braun,Greek Cuisine,cheap,Greenwich Village,15,1.7,true
361,"Stark, Deckow and Franecki",Spanish Cuisine,cheap,Clinton,15,3.6,false
362,"Cremin, Gusikowski and Davis",Chinese Cuisine,medium,Battery Park City,20,4.0,true
363,Blanda and Sons,Indian Cuisine,medium,Hudson Yards,15,3.4,false
364,Murray Group,Spanish Cuisine,expensive,Battery Park City,16,5.0,false
365,Turner-Krajcik,Mediterranean Cuisine,medium,Little Italy,14,1.4,false
366,"Bins, Abshire and Torp",Italian Cuisine,expensive,Financial District,15,3.7,true
367,Gibson and Sons,Spanish Cuisine,cheap,Hell's Kitchen,15,3.8,false
368,"Altenwerth, Wunsch and Mayert",Indian Cuisine,medium,Chelsea,17,4.3,true
369,O'Reilly-Auer,Japanese Cuisine,medium,West Village,14,1.2,true
370,Deckow-Hegmann,French Cuisine,expensive,NoHo,18,4.9,false
371,Stark-Kling,Japanese Cuisine,expensive,Chinatown,24,2.1,true
372,"Gleason, Sauer and West",Japanese Cuisine,cheap,SoHo,22,3.5,false
373,Wintheiser and Sons,Greek Cuisine,cheap,Little Italy,17,0.8,true
374,"Upton, Skiles and Kuhlman",Indian Cuisine,expensive,West Village,15,4.1,true
375,Heller-Bauch,Chinese Cuisine,expensive,Hudson Yards,22,2.1,false
376,Rutherford and Sons,Indian Cuisine,cheap,Clinton,15,1.3,true
377,Satterfield Inc,Chinese Cuisine,medium,Hudson Yards,24,1.1,true
378,Greenholt Group,Greek Cuisine,cheap,SoHo,21,0.6,false
379,Rohan-Kuvalis,Mediterranean Cuisine,cheap,Clinton,18,2.4,true
380,Trantow-Hackett,Italian Cuisine,medium,Battery Park City,22,2.9,false
381,"Hane, Mosciski and Hirthe",French Cuisine,medium,West Village,21,4.4,false
382,Schinner-Shields,French Cuisine,expensive,Hell's Kitchen,18,1.5,true
383,Bartell-Lueilwitz,Mediterranean Cuisine,expensive,Chinatown,18,2.1,true
384,"Olson, Collier and Larkin",Spanish Cuisine,cheap,Hudson Yards,18,3.5,true
385,Weissnat-Douglas,Italian Cuisine,expensive,NoHo,19,2.2,true
386,"Kihn, Block and Zboncak",French Cuisine,expensive,Financial District,19,2.6,true
387,Runolfsson-Bogisich,Japanese Cuisine,medium,Little Italy,24,0.0,true
388,Blick-Hintz,Greek Cuisine,cheap,Hudson Yards,22,0.4,true
389,Bogisich and Sons,Mediterranean Cuisine,cheap,Hudson Yards,19,1.3,false
390,Nader-Leannon,Italian Cuisine,medium,Tribeca,20,3.9,false
391,Olson LLC,Chinese Cuisine,cheap,SoHo,21,0.8,true
392,"Dare, Bogan and Corwin",Chinese Cuisine,expensive,Little Italy,17,2.5,false
393,Klocko-Collier,Chinese Cuisine,expensive,Greenwich Village,24,0.8,false
394,Dickens-Price,French Cuisine,expensive,Lower East Side,20,2.1,false
395,Keeling LLC,Indian Cuisine,expensive,Lower East Side,18,2.7,true
396,Kautzer-Lind,Indian Cuisine,expensive,Battery Park City,22,3.2,false
397,"Jaskolski, Schimmel and Pagac",Japanese Cuisine,medium,NoHo,24,1.4,false
398,Braun-Baumbach,Indian Cuisine,expensive,Little Italy,23,0.7,false
399,"Schulist, Schinner and Mohr",Spanish Cuisine,medium,Chelsea,17,1.8,true
400,Stamm-Wuckert,Japanese Cuisine,expensive,Lower East Side,15,2.5,false
401,"Franecki, Mitchell and Von",Italian Cuisine,cheap,Chelsea,17,1.9,true
402,Heathcote-Johnston,Mediterranean Cuisine,expensive,West Village,17,3.3,false
403,McClure and Sons,French Cuisine,expensive,Financial District,14,0.2,false
404,"Terry, Heller and Kuhic",Greek Cuisine,cheap,Hudson Yards,19,4.6,false
405,"Marvin, Lynch and Crona",Greek Cuisine,expensive,Clinton,22,3.7,false
406,"Labadie, Hettinger and Russel",Italian Cuisine,medium,Tribeca,24,3.3,false
407,"Reichel, Dickens and Hodkiewicz",French Cuisine,cheap,Lower East Side,23,3.1,false
408,Lehner LLC,Japanese Cuisine,expensive,Battery Park City,18,0.0,false
409,Lubowitz-Schaden,Chinese Cuisine,cheap,NoHo,18,1.2,true
410,"Toy, Spencer and Hartmann",Greek Cuisine,expensive,Tribeca,17,0.5,false
411,Welch and Sons,Mediterranean Cuisine,cheap,Little Italy,24,1.5,true
412,Williamson and Sons,Spanish Cuisine,cheap,West Village,16,1.3,false
413,Walker and Sons,French Cuisine,expensive,SoHo,24,1.8,false
414,"Fahey, Gerlach and Hahn",Mediterranean Cuisine,cheap,Little Italy,17,4.7,false
415,Windler Inc,Chinese Cuisine,medium,Chelsea,18,4.3,true
416,Vandervort-Ledner,Japanese Cuisine,medium,Hell's Kitchen,17,2.8,true
417,"Tromp, Heidenreich and Hermiston",Spanish Cuisine,cheap,Chinatown,16,2.9,false
418,Gusikowski-Heathcote,Indian Cuisine,cheap,Financial District,23,3.2,true
419,"Kuphal, Mante and Mosciski",Japanese Cuisine,expensive,Lower East Side,18,3.0,true
420,DuBuque-Greenholt,Italian Cuisine,medium,Lower East Side,23,2.3,true
421,Turner LLC,Italian Cuisine,expensive,Battery Park City,24,1.6,true
422,Bode Group,Japanese Cuisine,medium,West Village,17,1.1,false
423,Bernier Inc,Japanese Cuisine,cheap,Clinton,16,3.5,false
424,"Gleichner, Marquardt and Baumbach",Chinese Cuisine,medium,Hudson Yards,23,1.8,true
425,Lind-Kunze,Mediterranean Cuisine,cheap,Hell's Kitchen,15,1.7,true
426,Wintheiser-Spencer,Greek Cuisine,medium,Clinton,18,3.5,false
427,"Dach, Von and Jerde",Mediterranean Cuisine,expensive,Financial District,17,1.6,true
428,Langworth-Pagac,Greek Cuisine,expensive,Chelsea,23,2.1,true
429,Kuphal-Fisher,Italian Cuisine,cheap,Battery Park City,23,0.9,false
430,Prosacco-Marvin,Italian Cuisine,cheap,Lower East Side,24,2.0,true
431,"Becker, Gulgowski and Howe",Greek Cuisine,cheap,West Village,22,3.9,true
432,Smith Inc,French Cuisine,medium,NoHo,20,3.1,true
433,"Wilkinson, Rippin and Ondricka",Greek Cuisine,expensive,Tribeca,17,4.9,true
434,Stokes LLC,Chinese Cuisine,medium,Chinatown,22,4.4,true
435,"Jacobs, Medhurst and Ratke",French Cuisine,medium,Lower East Side,23,2.1,true
436,"Lowe, Koepp and Douglas",Chinese Cuisine,cheap,Chinatown,23,3.8,false
437,Larson and Sons,Indian Cuisine,medium,Clinton,22,4.4,true
438,Hammes-Mosciski,Italian Cuisine,medium,Hudson Yards,16,1.5,true
439,Douglas and Sons,Greek Cuisine,expensive,West Village,18,1.8,false
440,"Effertz, Schaefer and Zemlak",Chinese Cuisine,expensive,Little Italy,19,4.9,false
441,Hessel-Murazik,Spanish Cuisine,cheap,NoHo,22,3.4,true
442,Abernathy Group,Chinese Cuisine,medium,Greenwich Village,22,3.7,true
443,Brakus Group,Indian Cuisine,expensive,Greenwich Village,20,2.1,true
444,Anderson LLC,Japanese Cuisine,medium,NoHo,19,2.1,false
445,"Satterfield, Wiegand and McClure",Mediterranean Cuisine,expensive,Tribeca,19,3.4,false
446,Carter-Lehner,Greek Cuisine,medium,Chelsea,21,4.5,true
447,Altenwerth-Ritchie,Italian Cuisine,cheap,NoHo,24,0.9,true
448,Pacocha Inc,French Cuisine,expensive,NoHo,16,0.7,true
449,"Gusikowski, Buckridge and Morissette",French Cuisine,cheap,Greenwich Village,18,0.9,true
450,Bernhard and Sons,Italian Cuisine,medium,Chelsea,17,1.9,true
451,Volkman-Gibson,French Cuisine,expensive,Clinton,22,0.5,true
452,"Mayer, Runte and Hills",French Cuisine,expensive,Financial District,19,2.7,false
453,"Batz, Ullrich and Fritsch",Chinese Cuisine,expensive,Financial District,21,1.6,false
454,"Dickinson, Osinski and Lehner",Mediterranean Cuisine,medium,Lower East Side,18,4.4,true
455,Koch LLC,Greek Cuisine,medium,Financial District,18,3.8,false
456,Gerlach Group,French Cuisine,medium,West Village,16,3.6,false
457,"Weber, Sporer and Zemlak",Chinese Cuisine,cheap,Tribeca,21,4.9,false
458,"Hoeger, Wolf and Schaefer",French Cuisine,medium,Hudson Yards,24,0.9,false
459,Hills and Sons,Greek Cuisine,cheap,Little Italy,21,3.2,false
460,Reichert Group,Spanish Cuisine,expensive,SoHo,24,2.4,true
461,"Kuhlman, Jones and Romaguera",Spanish Cuisine,cheap,Tribeca,22,0.5,false
462,Hamill-Larson,Italian Cuisine,cheap,Hell's Kitchen,16,0.3,false
463,"Parisian, Jenkins and O'Keefe",French Cuisine,expensive,Greenwich Village,15,1.0,true
464,Metz Group,Italian Cuisine,medium,Lower East Side,22,0.1,false
465,"Friesen, Powlowski and Rempel",Chinese Cuisine,cheap,Battery Park City,24,3.8,false
466,"Renner, Barton and Corwin",Mediterranean Cuisine,expensive,Chelsea,23,2.0,false
467,Barrows-Nitzsche,French Cuisine,cheap,Chelsea,20,0.7,false
468,Strosin Group,Greek Cuisine,expensive,Lower East Side,14,3.8,false
469,Zulauf LLC,Chinese Cuisine,medium,Lower East Side,20,0.3,true
470,Heaney-Gerlach,Chinese Cuisine,medium,Battery Park City,17,3.9,true
471,"Kihn, Beahan and Hane",Indian Cuisine,cheap,Hell's Kitchen,20,2.4,false
472,Harris Inc,Indian Cuisine,cheap,NoHo,23,3.8,true
473,Strosin LLC,Greek Cuisine,expensive,Little Italy,19,2.9,false
474,Lang and Sons,Spanish Cuisine,cheap,Chinatown,14,3.6,true
475,"Walter, Leuschke and Crooks",French Cuisine,cheap,Battery Park City,17,3.5,false
476,Howe-Legros,Japanese Cuisine,medium,Greenwich Village,24,4.7,false
477,Botsford LLC,Chinese Cuisine,cheap,West Village,19,1.8,false
478,"Jones, Zieme and Corkery",French Cuisine,medium,Lower East Side,15,3.7,false
479,"Jenkins, Okuneva and Lynch",Japanese Cuisine,cheap,Little Italy,24,3.0,false
480,Lind-Conn,Greek Cuisine,cheap,NoHo,14,0.8,true
481,Koch and Sons,Japanese Cuisine,expensive,Tribeca,14,0.9,true
482,"Altenwerth, Rowe and Douglas",Indian Cuisine,cheap,Financial District,19,1.7,true
483,"Ondricka, Carter and Grimes",French Cuisine,cheap,Hell's Kitchen,18,3.0,true
484,Tromp and Sons,Greek Cuisine,expensive,West Village,16,3.1,false
485,"McGlynn, Gaylord and Metz",Spanish Cuisine,expensive,NoHo,19,0.3,true
486,Bahringer-Harris,French Cuisine,expensive,NoHo,21,0.7,false
487,Stamm and Sons,French Cuisine,cheap,Financial District,21,2.1,true
488,Kshlerin LLC,Spanish Cuisine,expensive,West Village,21,2.6,false
489,"Champlin, Trantow and Borer",Greek Cuisine,medium,Tribeca,24,0.8,true
490,Bogisich-Bartoletti,Indian Cuisine,medium,Little Italy,20,1.1,false
491,Bashirian-VonRueden,Italian Cuisine,medium,Tribeca,14,3.1,false
492,Schimmel Inc,Chinese Cuisine,medium,Tribeca,16,0.1,true
493,Lemke Inc,Chinese Cuisine,cheap,Little Italy,23,0.3,true
494,"Friesen, Gleichner and Satterfield",Indian Cuisine,expensive,SoHo,18,1.7,true
495,Terry Group,Indian Cuisine,cheap,Little Italy,17,3.1,false
496,"Reinger, Runte and Beahan",Greek Cuisine,expensive,Hudson Yards,14,4.3,false
497,Moen Inc,Greek Cuisine,medium,SoHo,18,1.8,false
498,Shanahan Group,Mediterranean Cuisine,medium,West Village,14,4.2,true
499,"Smith, Kunde and Lehner",Japanese Cuisine,medium,Chelsea,23,2.3,true
500,Wiza-Kiehn,Mediterranean Cuisine,medium,Clinton,22,1.3,true
501,Kub and Sons,Chinese Cuisine,cheap,Lower East Side,23,2.6,true
502,Kilback and Sons,Chinese Cuisine,medium,NoHo,19,0.9,true
503,Cummings-Wolff,Spanish Cuisine,expensive,Chinatown,14,0.5,false
504,Doyle and Sons,Mediterranean Cuisine,expensive,Battery Park City,23,1.1,true
505,Bogan-Upton,Chinese Cuisine,medium,Greenwich Village,22,1.5,true
506,Armstrong-Schultz,Greek Cuisine,medium,Lower East Side,15,0.5,true
507,Smith and Sons,Indian Cuisine,expensive,NoHo,19,1.8,true
508,Bednar Inc,Spanish Cuisine,cheap,Battery Park City,24,3.5,true
509,"Vandervort, Flatley and Ratke",Japanese Cuisine,expensive,Battery Park City,20,0.9,false
510,Wintheiser LLC,Mediterranean Cuisine,cheap,Chinatown,20,4.9,true
511,"Moen, Goyette and Padberg",Japanese Cuisine,medium,Tribeca,21,1.5,true
512,Murazik-Lindgren,Spanish Cuisine,expensive,Clinton,16,2.8,true
513,Auer-Pacocha,Spanish Cuisine,expensive,Hell's Kitchen,22,5.0,true
514,"West, Altenwerth and Harvey",French Cuisine,expensive,Hell's Kitchen,23,1.4,false
515,Zemlak Group,Japanese Cuisine,medium,Hell's Kitchen,14,1.4,false
516,Parisian-Weissnat,Japanese Cuisine,expensive,Hell's Kitchen,14,1.7,true
517,Hettinger-Paucek,Indian Cuisine,expensive,Chinatown,18,2.0,false
518,Treutel Group,Japanese Cuisine,cheap,Hell's Kitchen,16,0.5,true
519,"Bahringer, Ankunding and Sipes",Italian Cuisine,expensive,West Village,23,0.4,false
520,Hauck Inc,Spanish Cuisine,medium,SoHo,22,4.1,false
521,Williamson Group,French Cuisine,medium,Chinatown,23,3.2,false
522,Muller LLC,Japanese Cuisine,medium,Chelsea,20,2.2,false
523,Schultz-Hagenes,Chinese Cuisine,medium,Hell's Kitchen,24,3.3,false
524,"Jerde, Durgan and Turner",Italian Cuisine,medium,Hell's Kitchen,22,3.0,true
525,Schumm LLC,French Cuisine,medium,Chinatown,21,1.9,true
526,Lind LLC,Greek Cuisine,medium,Clinton,23,1.1,true
527,"O'Hara, Weissnat and Macejkovic",Chinese Cuisine,expensive,Hell's Kitchen,15,4.1,true
528,Goodwin Group,Spanish Cuisine,cheap,Tribeca,15,3.2,true
529,Dooley Group,Mediterranean Cuisine,cheap,SoHo,19,3.6,false
530,Grant LLC,Spanish Cuisine,medium,Chelsea,23,4.3,true
531,Kassulke and Sons,French Cuisine,expensive,Chelsea,17,2.8,false
532,Watsica-Marks,Chinese Cuisine,cheap,Financial District,22,2.3,true
533,"Haley, Lynch and Barton",Indian Cuisine,medium,NoHo,19,0.3,true
534,"Kuhic, Bernhard and Labadie",Italian Cuisine,medium,Greenwich Village,16,2.9,true
535,"Botsford, Sawayn and Frami",Chinese Cuisine,expensive,Lower East Side,16,3.6,true
536,"Stoltenberg, Funk and Maggio",Japanese Cuisine,cheap,Chelsea,14,3.9,false
537,"Stoltenberg, Abernathy and Rodriguez",Indian Cuisine,cheap,Greenwich Village,16,4.1,true
538,Dickens-Herman,French Cuisine,cheap,West Village,23,2.1,true
539,Ruecker-Leffler,Greek Cuisine,cheap,Hell's Kitchen,19,2.4,true
540,Beer-Kub,Italian Cuisine,medium,NoHo,24,3.9,false
541,Stamm Group,Spanish Cuisine,cheap,Battery Park City,23,3.9,true
542,Berge Group,Chinese Cuisine,expensive,Lower East Side,15,1.2,false
543,"Maggio, Kihn and Lehner",Mediterranean Cuisine,cheap,Hell's Kitchen,21,0.7,true
544,"Cormier, Grady and Murphy",French Cuisine,medium,Financial District,18,4.3,false
545,Gerlach-Hayes,Greek Cuisine,expensive,Financial District,17,1.0,false
546,Spencer-Hickle,Greek Cuisine,cheap,Little Italy,22,0.5,false
547,Boyer and Sons,French Cuisine,cheap,West Village,19,0.8,true
548,Langosh and Sons,Indian Cuisine,expensive,Hell's Kitchen,20,0.5,false
549,"Kassulke, Koss and Kreiger",Japanese Cuisine,expensive,Chinatown,18,3.7,false
550,"Mueller, Schumm and Nienow",Spanish Cuisine,medium,Tribeca,23,2.9,false
551,"Smitham, Ziemann and Wilderman",Mediterranean Cuisine,cheap,NoHo,22,0.3,true
552,Kunde-Gerlach,Mediterranean Cuisine,cheap,Chinatown,14,3.8,false
553,Schinner LLC,Spanish Cuisine,cheap,NoHo,22,4.6,true
554,Crist-Zieme,Chinese Cuisine,medium,Lower East Side,21,0.2,false
555,"MacGyver, Huels and Donnelly",Chinese Cuisine,cheap,Lower East Side,14,3.8,false
556,Cartwright Inc,Greek Cuisine,medium,NoHo,16,2.0,false
557,Haag Inc,Spanish Cuisine,expensive,SoHo,22,4.5,false
558,"Dare, Gorczany and Durgan",Indian Cuisine,medium,Little Italy,22,4.4,false
559,Kulas-Gulgowski,Spanish Cuisine,expensive,Lower East Side,22,2.4,false
560,Schimmel-Harris,Indian Cuisine,cheap,Little Italy,22,4.3,true
561,"Hamill, Olson and Moore",Chinese Cuisine,cheap,SoHo,20,1.5,true
562,Moen-Morar,Greek Cuisine,medium,Lower East Side,24,1.5,false
563,"Murazik, Bartoletti and Ward",Mediterranean Cuisine,medium,Clinton,17,2.7,false
564,Casper Group,Japanese Cuisine,medium,Clinton,21,5.0,false
565,Goyette LLC,Japanese Cuisine,cheap,Chinatown,17,0.9,false
566,Cremin and Sons,Italian Cuisine,expensive,Clinton,18,0.0,true
567,Kuvalis-Dach,Japanese Cuisine,cheap,SoHo,17,0.5,false
568,Rutherford-Bogan,Japanese Cuisine,medium,Chinatown,15,2.1,false
569,Kemmer-Lang,Chinese Cuisine,cheap,Hell's Kitchen,14,0.0,true
570,Feil-Thiel,Indian Cuisine,cheap,Tribeca,21,0.3,false
571,McGlynn and Sons,French Cuisine,expensive,Little Italy,24,3.5,false
572,Hahn-Rippin,Mediterranean Cuisine,expensive,NoHo,22,3.9,false
573,Kertzmann-Windler,Chinese Cuisine,expensive,Tribeca,17,3.9,false
574,Stokes Inc,Italian Cuisine,expensive,Hudson Yards,18,3.6,false
575,"Graham, Kutch and Upton",Indian Cuisine,medium,Chinatown,18,0.6,true
576,"Emmerich, Cummerata and Hand",Spanish Cuisine,cheap,Greenwich Village,18,3.2,true
577,Gutmann-Nolan,Japanese Cuisine,cheap,Hell's Kitchen,24,3.2,true
578,Jakubowski-Goodwin,Spanish Cuisine,medium,Greenwich Village,14,3.8,false
579,"Haley, Batz and McDermott",Spanish Cuisine,expensive,West Village,20,4.0,true
580,Greenholt Group,Greek Cuisine,medium,Greenwich Village,23,4.5,false
581,"Stokes, Wisozk and Roberts",Italian Cuisine,medium,Greenwich Village,24,4.7,false
582,"Gislason, Fritsch and Cormier",Italian Cuisine,medium,SoHo,20,0.7,false
583,Mills LLC,French Cuisine,expensive,Financial District,18,3.8,false
584,"Mertz, Bode and Heller",Greek Cuisine,expensive,Little Italy,23,1.3,false
585,Hand Inc,Greek Cuisine,expensive,Chinatown,18,2.9,true
586,Harber Group,Spanish Cuisine,cheap,Chelsea,22,4.7,true
587,"Williamson, Feil and Pouros",Greek Cuisine,expensive,Hudson Yards,24,4.0,false
588,Pagac LLC,Japanese Cuisine,expensive,Clinton,18,4.7,false
589,"Ruecker, Rice and Thiel",Japanese Cuisine,cheap,SoHo,21,2.7,false
590,Koelpin-Heller,Indian Cuisine,medium,Little Italy,16,4.7,true
591,Witting-Lehner,Greek Cuisine,expensive,Little Italy,22,4.4,false
592,"Marks, Kling and Fisher",French Cuisine,expensive,Hell's Kitchen,19,0.9,false
593,"Rohan, Boyle and Bahringer",Spanish Cuisine,expensive,NoHo,21,1.8,false
594,Conn-Tromp,Italian Cuisine,expensive,SoHo,23,4.6,false
595,Wunsch and Sons,Mediterranean Cuisine,expensive,SoHo,19,4.0,false
596,"Runolfsdottir, Ebert and Kling",Spanish Cuisine,medium,Greenwich Village,19,1.0,false
597,Jaskolski-McDermott,French Cuisine,cheap,Chinatown,15,4.4,true
598,Feil LLC,Japanese Cuisine,medium,NoHo,16,3.3,false
599,"Lemke, Predovic and Bins",French Cuisine,medium,Greenwich Village,17,4.6,true
600,Gibson-Muller,Spanish Cuisine,medium,Chelsea,23,1.3,false
601,"Marks, Cronin and Witting",Chinese Cuisine,medium,Chinatown,20,2.0,false
602,"Greenholt, Raynor and Schumm",Indian Cuisine,cheap,Battery Park City,15,5.0,false
603,Schmidt-Barton,Italian Cuisine,cheap,Chelsea,18,3.7,false
604,"Bednar, Block and Stokes",Mediterranean Cuisine,expensive,Hell's Kitchen,16,0.2,false
605,Okuneva and Sons,Chinese Cuisine,cheap,Financial District,18,3.5,true
606,"Olson, Rau and Gusikowski",Indian Cuisine,expensive,Chinatown,21,4.9,true
607,"Grimes, Doyle and Kreiger",Mediterranean Cuisine,expensive,Hell's Kitchen,20,1.7,false
608,"Harber, Gaylord and Schimmel",Indian Cuisine,medium,Tribeca,14,4.1,false
609,Braun and Sons,Japanese Cuisine,cheap,Hell's Kitchen,20,3.7,true
610,Reichel-Cruickshank,French Cuisine,expensive,West Village,15,4.3,true
611,"Towne, Windler and Hayes",Chinese Cuisine,medium,SoHo,16,2.9,false
612,Zemlak-Baumbach,French Cuisine,cheap,Hudson Yards,21,2.5,true
613,Toy-Blick,Mediterranean Cuisine,medium,NoHo,16,3.0,false
614,"Kessler, Morissette and Tremblay",Chinese Cuisine,medium,Hudson Yards,20,3.8,false
615,Watsica and Sons,Italian Cuisine,expensive,NoHo,20,2.6,false
616,"Stamm, Wiegand and Ortiz",Japanese Cuisine,medium,Chelsea,18,0.5,false
617,Quitzon Inc,French Cuisine,expensive,Chinatown,23,3.3,true
618,Quitzon LLC,Mediterranean Cuisine,expensive,Greenwich Village,24,1.6,false
619,Hegmann-Goyette,Mediterranean Cuisine,cheap,Clinton,18,0.3,true
620,"D'Amore, Lowe and Gislason",Greek Cuisine,medium,Battery Park City,14,3.4,true
621,"D'Amore, Schoen and Hoppe",Japanese Cuisine,cheap,Little Italy,19,1.5,false
622,"Brown, Kihn and Hackett",Greek Cuisine,cheap,Lower East Side,14,3.1,true
623,Beier and Sons,Spanish Cuisine,cheap,Greenwich Village,18,0.7,true
624,Maggio-Swift,Indian Cuisine,cheap,West Village,23,3.0,true
625,"Hilpert, VonRueden and Anderson",Indian Cuisine,medium,NoHo,16,2.1,false
626,Douglas-Abbott,Italian Cuisine,cheap,Financial District,16,3.1,false
627,Mayert-Lubowitz,Chinese Cuisine,cheap,Financial District,15,1.0,true
628,"Cassin, Mraz and Marks",Mediterranean Cuisine,medium,Tribeca,23,2.2,false
629,Lang Inc,Chinese Cuisine,expensive,Financial District,20,4.0,true
630,Russel-Feeney,Spanish Cuisine,cheap,Chelsea,17,4.9,true
631,Nitzsche-Kilback,Italian Cuisine,medium,Chelsea,21,2.6,true
632,Herman Inc,Mediterranean Cuisine,cheap,Lower East Side,16,0.5,false
633,Wyman Inc,French Cuisine,medium,Battery Park City,15,3.4,true
634,"Rau, Terry and Fahey",Chinese Cuisine,expensive,Financial District,20,2.2,true
635,Hodkiewicz and Sons,Japanese Cuisine,expensive,Financial District,24,0.2,true
636,"Streich, Jones and Denesik",Chinese Cuisine,expensive,West Village,19,0.4,false
637,Gibson-Stiedemann,Japanese Cuisine,medium,Greenwich Village,14,2.6,true
638,Ondricka Inc,Greek Cuisine,medium,Little Italy,16,4.6,false
639,Rau-Ankunding,Greek Cuisine,expensive,Battery Park City,23,4.1,true
640,"Nicolas, Shields and Mitchell",Japanese Cuisine,medium,Clinton,22,4.2,false
641,Bartell-Kreiger,French Cuisine,cheap,NoHo,21,0.1,false
642,"Dibbert, Bernier and Zemlak",Mediterranean Cuisine,cheap,Lower East Side,14,2.1,true
643,Heidenreich-Littel,Indian Cuisine,expensive,Chinatown,21,2.1,true
644,Koelpin-Corkery,Italian Cuisine,expensive,Clinton,17,0.1,true
645,Crona-Ebert,Italian Cuisine,expensive,Tribeca,22,1.7,true
646,"Gibson, Kuhlman and Reynolds",Chinese Cuisine,medium,Hudson Yards,21,3.0,true
647,Casper-Streich,Spanish Cuisine,medium,NoHo,20,1.1,false
648,Baumbach LLC,Japanese Cuisine,medium,SoHo,17,1.7,false
649,Runolfsdottir-Toy,Spanish Cuisine,expensive,Chinatown,24,1.1,true
650,Buckridge-Bins,Japanese Cuisine,cheap,Hell's Kitchen,15,2.2,true
651,Shanahan-Greenholt,Mediterranean Cuisine,medium,SoHo,15,2.2,true
652,"Bode, Rice and Paucek",Japanese Cuisine,expensive,Lower East Side,24,2.3,false
653,Dickens LLC,Mediterranean Cuisine,expensive,Greenwich Village,24,3.8,true
654,"Collins, Wisoky and Littel",Spanish Cuisine,expensive,Financial District,19,1.5,false
655,Ward and Sons,French Cuisine,expensive,Chelsea,22,1.6,false
656,Upton and Sons,Japanese Cuisine,cheap,Clinton,23,3.6,true
657,Stanton-Little,Mediterranean Cuisine,medium,Little Italy,20,3.7,true
658,"Morissette, Rau and Hilll",Chinese Cuisine,expensive,Hudson Yards,14,4.1,false
659,Ziemann-Gleichner,Italian Cuisine,cheap,West Village,22,3.4,false
660,"Hudson, Feeney and Hansen",Italian Cuisine,cheap,Clinton,14,4.2,false
661,"Kling, Hahn and Wiegand",Italian Cuisine,cheap,Chinatown,16,4.1,true
662,Greenfelder Inc,Greek Cuisine,medium,Little Italy,16,0.7,true
663,Schmeler-Adams,Mediterranean Cuisine,medium,Hell's Kitchen,15,3.6,false
664,Gorczany and Sons,Italian Cuisine,cheap,Chelsea,19,3.1,true
665,"Hermiston, Bailey and McClure",Spanish Cuisine,expensive,Little Italy,17,4.4,false
666,Kub-Collier,French Cuisine,medium,Hudson Yards,24,2.8,true
667,"Runte, Shields and Hagenes",French Cuisine,medium,NoHo,23,1.0,false
668,"Pfannerstill, Spencer and Frami",Italian Cuisine,cheap,West Village,23,0.7,true
669,Stroman-Abbott,Chinese Cuisine,expensive,Financial District,16,1.1,true
670,Wilderman-Wisoky,Mediterranean Cuisine,expensive,Financial District,14,1.4,false
671,Connelly Group,Japanese Cuisine,medium,Clinton,16,0.1,true
672,Watsica-Feeney,Spanish Cuisine,expensive,Chelsea,16,0.3,false
673,Feeney LLC,Indian Cuisine,expensive,Financial District,15,1.5,true
674,Rippin LLC,Indian Cuisine,expensive,Financial District,14,0.8,false
675,Hackett-Mertz,French Cuisine,medium,NoHo,19,2.9,true
676,"Kulas, Kris and Ernser",Spanish Cuisine,medium,Little Italy,14,0.5,false
677,"Bednar, Stiedemann and Kozey",Indian Cuisine,medium,Hudson Yards,22,2.7,true
